u,v,contact_count,duration_seconds,first_time,last_time,weight
1426,1427,27,540,36740,146740,0.6532261284030567
1426,1428,45,900,35980,142180,0.7061705572255972
1426,1429,75,1500,36680,145740,0.7591456673901623
1426,1430,19,380,35640,58260,0.6168334979266865
1426,1431,43,860,36720,147680,0.7014571432333434
1426,1434,8,160,35240,144460,0.527424910548402
1426,1435,12,240,37520,145120,0.5692950854209973
1426,1437,23,460,32160,143000,0.6366167070813586
1426,1439,27,540,35260,146140,0.6532261284030567
1426,1441,8,160,32100,143140,0.527424910548402
1426,1443,44,880,32360,147300,0.7038406028908673
1426,1451,1,20,36680,36680,0.31600653265148854
1426,1452,11,220,36040,133680,0.5603028760303012
1426,1457,3,60,45140,133880,0.42668859322200425
1426,1458,3,60,35440,131520,0.42668859322200425
1426,1459,13,260,45500,49840,0.577569991929958
1426,1465,12,240,41180,138760,0.5692950854209973
1426,1468,51,1020,35620,136960,0.7191483252460843
1426,1471,59,1180,31620,126280,0.7342587129460318
1426,1475,9,180,36800,145640,0.5395785563918402
1426,1477,11,220,43520,131440,0.5603028760303012
1426,1480,16,320,35120,139900,0.599047349799237
1426,1482,23,460,41280,142940,0.6366167070813586
1426,1483,4,80,35880,133720,0.4561223208851435
1426,1486,124,2480,32060,134380,0.811305838370386
1426,1489,7,140,36080,145680,0.5136570630934635
1426,1493,3,60,43120,50540,0.42668859322200425
1426,1498,58,1160,32100,133440,0.7324859096940134
1426,1500,3,60,35840,36220,0.42668859322200425
1426,1501,5,100,35120,134660,0.4790269285669295
1426,1502,4,80,32160,47240,0.4561223208851435
1426,1511,11,220,33320,35060,0.5603028760303012
1426,1516,4,80,35500,36420,0.4561223208851435
1426,1520,24,480,36220,132140,0.6410248050598301
1426,1522,4,80,45360,49380,0.4561223208851435
1426,1525,4,80,35880,36400,0.4561223208851435
1426,1528,6,120,35880,47160,0.49777959356083784
1426,1532,2,40,36220,36240,0.3854506105818549
1426,1533,10,200,48160,133700,0.5504571011940145
1426,1545,1,20,133300,133300,0.31600653265148854
1426,1548,3,60,36180,137120,0.42668859322200425
1426,1551,2,40,45540,57640,0.3854506105818549
1426,1552,1,20,50060,50060,0.31600653265148854
1426,1558,1,20,46140,46140,0.31600653265148854
1426,1563,19,380,42500,143000,0.6168334979266865
1426,1564,1,20,137160,137160,0.31600653265148854
