model,rate,mse_infected,mae_infected,rmse_infected,mape_infected,curve_accuracy,r2_infected,peak_infected_error,time_to_peak_error,final_infected_error,mse_recovered,mae_recovered,r2_recovered,beta,mu
SEIR-Campus,2.5406504065040654e-05,4.8808980213089805,1.9748858447488584,2.2092754516603357,0.7468854806385623,0.2531145193614377,-3.916520524641122,1.0000000000000004,28.0,0.6666666666666666,303.33181126331823,13.205479452054796,-0.2538940009829058,,
SEIR-Campus,3.0850754936120797e-05,3.0087519025875196,1.5730593607305936,1.7345754243005749,0.6236182584739334,0.3763817415260666,-2.0307108278114407,1.3333333333333335,35.0,0.6666666666666666,208.35616438356163,11.287671232876713,0.13871036637973033,,
SEIR-Campus,3.6295005807200936e-05,5.917427701674278,2.230593607305936,2.4325763506361477,0.8226380342539711,0.17736196574602892,-4.960615161666335,2.666666666666667,36.0,0.6666666666666666,470.6149162861492,17.305936073059364,-0.9453984000115836,,
SEIR-Campus,4.1739256678281075e-05,1.789573820395738,1.1027397260273972,1.3377495357486535,0.4220780936069135,0.5779219063930865,-0.8026347569491847,0.0,13.0,0.3333333333333333,24.806697108066974,4.3881278538812785,0.8974556326339166,,
SEIR-Campus,4.718350754936122e-05,9.077245053272451,2.3584474885844746,3.012846669392993,0.8612418375156221,0.1387581624843779,-8.143493967047162,5.999999999999999,17.0,0.6666666666666666,637.7153729071537,21.803652968036527,-1.6361477785417997,,
Weighted SIR,,1829.7149923896498,26.75570776255708,42.77516794110398,8.24387707696324,0.0,-1842.0688932760668,101.0,25.0,0.6666666666666666,23177.468797564685,137.03652968036528,-94.8095656442919,0.006,0.1
Weighted SIR,,1123.1670471841705,19.162100456621005,33.51368447640711,6.020926886193815,0.0,-1130.3643136925455,88.66666666666666,27.0,0.6666666666666666,24576.243531202435,144.2785388127854,-100.59173283582422,0.006,0.14
Weighted SIR,,641.6175799086757,14.773972602739725,25.330171335951828,4.736584875622164,0.0,-645.3003297384145,66.66666666666666,27.0,0.6666666666666666,23156.943683409438,140.7625570776256,-94.72472021577727,0.006,0.18
Weighted SIR,,320.73782343987824,11.148401826484017,17.909154738286176,3.649367622592028,0.0,-322.0786804162685,44.66666666666667,25.0,0.6666666666666666,19020.223744292238,127.61643835616438,-77.62460699717832,0.006,0.22
Weighted SIR,,2656.538432267884,30.066210045662103,51.54161844827813,9.355173890338802,0.0,-2674.926780219896,138.66666666666669,29.0,0.0,26890.60578386606,150.7579908675799,-110.15869824123317,0.008,0.1
Weighted SIR,,1267.9128614916287,19.69178082191781,35.60776406195183,6.312143169867628,0.0,-1276.1665336511708,103.0,28.0,0.6666666666666666,27045.60578386606,153.3835616438356,-110.7994275117403,0.008,0.14
Weighted SIR,,806.6419330289194,15.892694063926943,28.401442446272327,5.146870661906684,0.0,-811.5290883887974,78.33333333333333,29.0,0.6666666666666666,25812.8401826484,150.4611872146119,-105.70349845125988,0.008,0.18
Weighted SIR,,728.7758751902588,14.002283105022832,26.995849221505495,4.572019815617656,0.0,-733.0947367868358,84.0,29.0,0.6666666666666666,26498.065449010654,152.73059360730593,-108.53603964512655,0.008,0.22
Weighted SIR,,2747.9113394216133,30.18949771689498,52.42052402849111,9.437570265242199,0.0,-2766.9665588541066,144.33333333333334,30.0,0.3333333333333333,27847.78386605784,155.1095890410959,-114.11542091444704,0.01,0.1
Weighted SIR,,1621.7073820395735,21.17123287671233,40.270428133303646,6.80987907929847,0.0,-1632.5431705293665,121.33333333333333,31.0,0.6666666666666666,30239.622526636227,163.31506849315068,-124.00265343162849,0.01,0.14
Weighted SIR,,1127.0452815829528,17.449771689497723,33.57149507518176,5.655011075254328,0.0,-1134.270852804352,102.0,30.0,0.6666666666666666,28818.989345509897,159.73972602739727,-118.13012916194276,0.01,0.18
Weighted SIR,,806.2035768645359,14.550228310502284,28.39372425139992,4.809447757389949,0.0,-811.0875329475886,86.66666666666666,31.0,0.6666666666666666,30707.575342465752,165.78082191780823,-125.93704740787499,0.01,0.22
Weighted SIR,,2671.459284627093,30.171232876712335,51.68616144217999,9.530998668528987,0.0,-2689.956530185767,147.66666666666669,31.0,0.3333333333333333,28518.065449010654,158.09132420091322,-116.88618884786456,0.012,0.1
Weighted SIR,,1784.1746575342465,22.011415525114156,42.23949168176917,7.18327189241493,0.0,-1796.196189106031,128.33333333333334,31.0,0.6666666666666666,30733.850837138507,165.5205479452055,-126.0456633984162,0.012,0.14
Weighted SIR,,1129.8291476407915,17.070776255707763,33.61293125630063,5.621319297416506,0.0,-1137.0750364917515,105.33333333333333,31.0,0.6666666666666666,31737.23287671233,168.66666666666666,-130.19338109039094,0.012,0.18
Weighted SIR,,708.4379756468799,13.381278538812786,26.61649818527749,4.451607355432425,0.0,-712.6084041290811,87.0,32.0,0.6666666666666666,31125.077625570775,167.43835616438355,-127.66289213877135,0.012,0.22
Weighted SIR,,2866.8261035007604,29.97945205479452,53.5427502422201,9.536047367090383,0.0,-2886.7492045323274,157.0,31.0,0.6666666666666666,29744.34094368341,162.013698630137,-121.95528951329963,0.015,0.1
Weighted SIR,,2098.832191780822,23.102739726027398,45.81301334534569,7.440491624426803,0.0,-2113.150204248795,144.33333333333334,32.0,0.6666666666666666,32207.951293759514,169.3470319634703,-132.13920733535164,0.015,0.14
Weighted SIR,,1403.868721461187,17.326484018264843,37.46823616693462,5.862407020636784,0.0,-1413.1146471063878,130.0,33.0,0.6666666666666666,33553.83105022831,174.59817351598176,-137.70272059052945,0.015,0.18
Weighted SIR,,984.8535007610351,14.495433789954339,31.382375639218825,4.7893915897806885,0.0,-991.0413065622147,115.33333333333333,30.0,0.6666666666666666,31714.167427701672,168.81735159817353,-130.09803458511018,0.015,0.22
